Datetime,Thrust_Value
01.06.2019 08:09,3290.8435
01.06.2019 08:09,3290.7435
01.06.2019 08:09,3225.3435
01.06.2019 08:09,3162.9435
01.06.2019 08:09,3112.0435
01.06.2019 08:09,3100.3435
01.06.2019 08:09,3147.0435
01.06.2019 08:09,3233.2435
01.06.2019 08:09,3324.6435
01.06.2019 08:09,3359.2435
01.06.2019 08:09,3334.8435
01.06.2019 08:09,3280.2435
01.06.2019 08:09,3198.6435
01.06.2019 08:09,3096.7435
01.06.2019 08:09,3026.2435
01.06.2019 08:09,3018.5435
01.06.2019 08:09,3079.0435
01.06.2019 08:09,3174.6435
01.06.2019 08:09,3254.4435
01.06.2019 08:09,3280.9435
01.06.2019 08:09,3331.0435
01.06.2019 08:09,3365.4435
01.06.2019 08:09,3327.9435
01.06.2019 08:09,3277.4435
01.06.2019 08:09,3237.1435
01.06.2019 08:09,3221.4435
01.06.2019 08:09,3201.6435
01.06.2019 08:09,3163.1435
01.06.2019 08:09,3139.1435
01.06.2019 08:09,3123.4435
01.06.2019 08:09,3141.7435
01.06.2019 08:09,3191.1435
01.06.2019 08:09,3183.1435
01.06.2019 08:09,3293.5435
01.06.2019 08:10,3353.3435
01.06.2019 08:10,3418.6435
01.06.2019 08:10,3401.7435
01.06.2019 08:10,3258.7435
01.06.2019 08:10,3058.5435
01.06.2019 08:10,2923.4435
01.06.2019 08:10,2839.8435
01.06.2019 08:10,2916.2435
01.06.2019 08:10,2948.6435
01.06.2019 08:10,3125.1435
01.06.2019 08:10,3301.4435
01.06.2019 08:10,3320.5435
01.06.2019 08:10,3254.0435
01.06.2019 08:10,3133.9435
01.06.2019 08:10,2991.6435
01.06.2019 08:10,2964.3435
01.06.2019 08:10,3062.5435
01.06.2019 08:10,3183.5435
01.06.2019 08:10,3466.5435
01.06.2019 08:10,3526.9435
01.06.2019 08:10,3346.4435
01.06.2019 08:10,3126.2435
01.06.2019 08:10,2916.0435
01.06.2019 08:10,2808.4435
01.06.2019 08:10,2963.7435
01.06.2019 08:10,3126.6435
01.06.2019 08:10,3209.0435
01.06.2019 08:10,3247.6435
01.06.2019 08:10,3158.0435
01.06.2019 08:10,3049.3435
01.06.2019 08:10,2922.3435
01.06.2019 08:10,2879.0435
01.06.2019 08:10,2893.7435
01.06.2019 08:10,2995.0435
01.06.2019 08:10,3112.8435
01.06.2019 08:10,3212.7435
01.06.2019 08:10,3182.6435
01.06.2019 08:10,3043.9435
01.06.2019 08:10,2970.5435
01.06.2019 08:10,2930.3435
01.06.2019 08:10,2928.3435
01.06.2019 08:10,2988.9435
01.06.2019 08:10,3033.4435
01.06.2019 08:10,3092.1435
01.06.2019 08:10,3129.2435
01.06.2019 08:10,3118.7435
01.06.2019 08:10,3075.4435
01.06.2019 08:10,3026.0435
01.06.2019 08:10,2968.0435
01.06.2019 08:10,2975.3435
01.06.2019 08:10,3058.4435
01.06.2019 08:10,3186.8435
01.06.2019 08:10,3234.8435
01.06.2019 08:10,3153.9435
01.06.2019 08:10,3036.7435
01.06.2019 08:10,2932.3435
01.06.2019 08:10,2887.5435
01.06.2019 08:10,2925.7435
01.06.2019 08:10,3007.3435
01.06.2019 08:10,3124.6435
01.06.2019 08:11,3206.2435
01.06.2019 08:11,3250.1435
01.06.2019 08:11,3205.9435
01.06.2019 08:11,3101.5435
01.06.2019 08:11,2944.7435
01.06.2019 08:11,2843.9435
01.06.2019 08:11,2855.1435
01.06.2019 08:11,2935.3435
01.06.2019 08:11,3051.3435
01.06.2019 08:11,3127.2435
01.06.2019 08:11,3159.9435
01.06.2019 08:11,3171.0435
01.06.2019 08:11,3133.3435
01.06.2019 08:11,3024.9435
01.06.2019 08:11,2913.8435
01.06.2019 08:11,2878.4435
01.06.2019 08:11,2910.1435
01.06.2019 08:11,2985.0435
01.06.2019 08:11,3026.9435
01.06.2019 08:11,3037.0435
01.06.2019 08:11,3035.3435
01.06.2019 08:11,3034.3435
01.06.2019 08:11,3001.8435
01.06.2019 08:11,2918.0435
01.06.2019 08:11,2848.0435
01.06.2019 08:11,2834.3435
01.06.2019 08:11,2843.1435
01.06.2019 08:11,2845.9435
01.06.2019 08:11,2821.8435
01.06.2019 08:11,2796.2435
01.06.2019 08:11,2779.7435
01.06.2019 08:11,2753.5435
01.06.2019 08:11,2722.3435
01.06.2019 08:11,2673.6435
01.06.2019 08:11,2611.7435
01.06.2019 08:11,2568.7435
01.06.2019 08:11,2546.1435
01.06.2019 08:11,2525.6435
01.06.2019 08:11,2491.6435
01.06.2019 08:11,2459.8435
01.06.2019 08:11,2419.1435
01.06.2019 08:11,2356.5435
01.06.2019 08:11,2271.4435
01.06.2019 08:11,2199.4435
01.06.2019 08:11,2150.8435
01.06.2019 08:11,2099.5435
01.06.2019 08:11,2044.4435
01.06.2019 08:11,1983.2435
01.06.2019 08:11,1922.7435
01.06.2019 08:11,1849.6435
01.06.2019 08:11,1780.9435
01.06.2019 08:11,1716.3435
01.06.2019 08:11,1655.6435
01.06.2019 08:11,1597.1435
01.06.2019 08:11,1547.5435
01.06.2019 08:11,1498.6435
01.06.2019 08:11,1443.9435
01.06.2019 08:11,1376.5435
01.06.2019 08:11,1312.4435
01.06.2019 08:11,1246.9435
01.06.2019 08:11,1185.6435
01.06.2019 08:12,1134.7435
01.06.2019 08:12,1081.3435
01.06.2019 08:12,1033.1435
01.06.2019 08:12,982.4235
01.06.2019 08:12,923.6335
01.06.2019 08:12,861.4735
01.06.2019 08:12,795.5235
01.06.2019 08:12,731.9935
01.06.2019 08:12,672.9335
01.06.2019 08:12,609.9635
01.06.2019 08:12,553.3735
01.06.2019 08:12,523.4435
01.06.2019 08:12,507.1335
01.06.2019 08:12,509.5835
01.06.2019 08:12,494.7535
01.06.2019 08:12,481.2435
01.06.2019 08:12,459.9235
01.06.2019 08:12,423.8035
01.06.2019 08:12,378.4035
01.06.2019 08:12,332.6235
01.06.2019 08:12,293.0835
01.06.2019 08:12,250.9035
01.06.2019 08:12,207.4435
01.06.2019 08:12,176.0735
01.06.2019 08:12,157.1035
01.06.2019 08:12,135.7935
01.06.2019 08:12,112.0035
01.06.2019 08:12,93.2185
01.06.2019 08:12,78.3225
01.06.2019 08:12,56.5665
01.06.2019 08:12,37.7495
01.06.2019 08:12,30.3595
01.06.2019 08:12,22.3015
01.06.2019 08:12,11.6387
01.06.2019 08:12,21.2975
01.06.2019 08:12,29.5505
01.06.2019 08:12,11.199
01.06.2019 08:12,2.1946
01.06.2019 08:12,4.0881
01.06.2019 08:12,-3.2375
